"ISO-date","Name","PMB-id","Latitude","Longitude","Type","Wikidata"
1912-08-12,"?? [Mittelmeer, südlich der brionischen Inseln]",pmb253449,"44,8851","13,7535","Landschaftlicher Punkt Scenic point"
1912-08-20,"?? [Mittelmeer, südlich der brionischen Inseln]",pmb253449,"44,8851","13,7535","Landschaftlicher Punkt Scenic point"
1928-04-25,"?? [Mittelmeer, westlich der Türkei]",pmb253112,"39,053","25,433","Landschaftlicher Punkt Scenic point"
1912-07-23,"?? [Mittelmeer, westlich der brionischen Inseln]",pmb253451,"44,9186","13,712","Landschaftlicher Punkt Scenic point"
1912-08-08,"?? [Mittelmeer, westlich der brionischen Inseln]",pmb253451,"44,9186","13,712","Landschaftlicher Punkt Scenic point"
1912-08-12,"?? [Mittelmeer, westlich der brionischen Inseln]",pmb253451,"44,9186","13,712","Landschaftlicher Punkt Scenic point"
1912-08-20,"?? [Mittelmeer, westlich der brionischen Inseln]",pmb253451,"44,9186","13,712","Landschaftlicher Punkt Scenic point"
1914-05-14,"?? [Mittelmeer, zwischen Genua und Algier]",pmb256357,"40,38","6,02","Landschaftlicher Punkt Scenic point"
1928-04-27,"?? [Mittelmeer, zwischen Rhodos und Dubrovnik]",pmb253115,"40,263","18,864","Landschaftlicher Punkt Scenic point"
1928-04-28,"?? [Mittelmeer, zwischen Rhodos und Dubrovnik]",pmb253115,"40,263","18,864","Landschaftlicher Punkt Scenic point"
1912-07-23,"?? [Mittelmeer, östlich der brionischen Inseln]",pmb253453,"44,9164","13,7878","Landschaftlicher Punkt Scenic point"
1912-08-08,"?? [Mittelmeer, östlich der brionischen Inseln]",pmb253453,"44,9164","13,7878","Landschaftlicher Punkt Scenic point"
1912-08-12,"?? [Mittelmeer, östlich der brionischen Inseln]",pmb253453,"44,9164","13,7878","Landschaftlicher Punkt Scenic point"
1912-08-20,"?? [Mittelmeer, östlich der brionischen Inseln]",pmb253453,"44,9164","13,7878","Landschaftlicher Punkt Scenic point"
1896-07-08,"?? [Nordsee, zwischen Hamburg und Stavanger]",pmb265294,"57,3","6,11","Landschaftlicher Punkt Scenic point"
1887-09-05,"?? [Spitalsstube von Arthur Schnitzler im Allgemeinen Krankenhaus]",pmb339282,"","","Wohnung Apartment"
1889-09-24,"?? [Taubstummengasse, Absteigequartier Marie Glümer und Arthur Schnitzler]",pmb168679,"","","Wohngebäude Residential building"
1889-10-01,"?? [Taubstummengasse, Absteigequartier Marie Glümer und Arthur Schnitzler]",pmb168679,"","","Wohngebäude Residential building"
1889-10-03,"?? [Taubstummengasse, Absteigequartier Marie Glümer und Arthur Schnitzler]",pmb168679,"","","Wohngebäude Residential building"
1889-10-18,"?? [Taubstummengasse, Absteigequartier Marie Glümer und Arthur Schnitzler]",pmb168679,"","","Wohngebäude Residential building"
1889-11-23,"?? [Taubstummengasse, Absteigequartier Marie Glümer und Arthur Schnitzler]",pmb168679,"","","Wohngebäude Residential building"
1889-11-30,"?? [Taubstummengasse, Absteigequartier Marie Glümer und Arthur Schnitzler]",pmb168679,"","","Wohngebäude Residential building"
1890-03-30,"?? [Taubstummengasse, Absteigequartier Marie Glümer und Arthur Schnitzler]",pmb168679,"","","Wohngebäude Residential building"
1895-04-13,"?? [Taubstummengasse, Absteigequartier Marie Glümer und Arthur Schnitzler]",pmb168679,"","","Wohngebäude Residential building"
1913-08-19,"?? [Tierpark Brijuni]",pmb254872,"","","Zoo Zoo"
1921-08-06,"?? [Unterkunft der Familie Brevée, Altaussee 1921]",pmb291595,"","","Wohngebäude Residential building"
1921-08-10,"?? [Unterkunft der Familie Brevée, Altaussee 1921]",pmb291595,"","","Wohngebäude Residential building"
1921-08-22,"?? [Unterkunft von Armin Horovitz, Altaussee, August 1921]",pmb291701,"","","Wohngebäude Residential building"
1921-08-21,"?? [Unterkunft von Camilla Brünauer, Altaussee, August 1921]",pmb291684,"","","Wohngebäude Residential building"
1921-08-23,"?? [Unterkunft von Camilla Brünauer, Altaussee, August 1921]",pmb291684,"","","Wohngebäude Residential building"
1921-08-12,"?? [Unterkunft von Carry Benedikt, August 1921]",pmb291633,"","","Wohngebäude Residential building"
